1	0.034949169156132706
2	0.03283167040824144
3	0.030687009283937285
4	0.030654364308870367
5	0.03937759087810007
6	0.04134742330606699
7	0.030630986412505588
8	0.04154556808415233
9	0.029763100807027328
10	0.03920509485172653
11	0.03632237890838632
12	0.03684329013638418
13	0.03719547794570954
14	0.02577188909885888
15	0.03687666498024901
16	0.03445323570449098
17	0.034880936935228375
18	0.03540822580598767
19	0.036221177398266566
20	0.03480071114167736
21	0.03296978968035237
22	0.03430863961973247
23	0.03539374233278879
24	0.03627295375219368
25	0.03222263235000829
26	0.021441358549625915
27	0.023811772210651283
28	0.02512495441763465
29	0.025930907646109853
30	0.025126745846284035
